Date,Symbol,Side,Entry,Exit,Points,Gain_Pct
2026-04-24 17:41,GAIL.NS,🔴 SELL,165.09,165.60000610351562,-0.51,-0.31
2026-04-24 17:41,JSWSTEEL.NS,🔴 SELL,1257.0,1258.0,-1.0,-0.08
